ticker,name,yahoo_ticker
AKRBP,Aker BP ASA,AKRBP.OL
BWLPG,BW LPG Limited,BWLPG.OL
DNB,DNB Bank ASA,DNB.OL
EQNR,Equinor ASA,EQNR.OL
FRO,Frontline PLC,FRO.OL
GJF,Gjensidige Forsikring ASA,GJF.OL
GOGL,Golden Ocean Group Limited,GOGL.OL
HAFNI,Hafnia Limited,HAFNI.OL
HAUTO,Hoegh Autoliners ASA,HAUTO.OL
KOG,Kongsberg Gruppen ASA,KOG.OL
MOWI,Mowi ASA,MOWI.OL
MPCC,MPC Container Ships ASA,MPCC.OL
NAS,Norwegian Air Shuttle ASA,NAS.OL
NHY,Norsk Hydro ASA,NHY.OL
NOD,Nordic Semiconductor ASA,NOD.OL
ORK,Orkla ASA,ORK.OL
SALM,SalMar ASA,SALM.OL
STB,Storebrand ASA,STB.OL
SUBC,Subsea 7 S.A.,SUBC.OL
TEL,Telenor ASA,TEL.OL
TGS,TGS ASA,TGS.OL
VAR,Var Energi ASA,VAR.OL
VENDA,Vendum AS A,VENDA.OL
WAWI,Wallenius Wilhelmsen ASA,WAWI.OL
YAR,Yara International ASA,YAR.OL
