ticker,name,yahoo_ticker
ELISA,Elisa Oyj,ELISA.HE
FORTUM,Fortum Oyj,FORTUM.HE
HIAB,Hiab Oyj,HIAB.HE
HUH1V,Huhtamaki Oyj,HUH1V.HE
KCR,Konecranes Oyj,KCR.HE
KEMIRA,Kemira Oyj,KEMIRA.HE
KESKOB,Kesko Oyj B,KESKOB.HE
KNEBV,KONE Oyj,KNEBV.HE
KOJAMO,Kojamo Oyj,KOJAMO.HE
MANTA,Mandatum Oyj,MANTA.HE
METSO,Metso Oyj,METSO.HE
NDA-FI,Nordea Bank Abp,NDA-FI.HE
NESTE,Neste Oyj,NESTE.HE
NOKIA,Nokia Oyj,NOKIA.HE
ORNBV,Orion Oyj B,ORNBV.HE
OUT1V,Outokumpu Oyj,OUT1V.HE
QTCOM,Qt Group Oyj,QTCOM.HE
SAMPO,Sampo Oyj A,SAMPO.HE
SSABBH,SSAB AB B,SSABBH.HE
STERV,Stora Enso Oyj R,STERV.HE
TIETO,TietoEVRY Oyj,TIETO.HE
TYRES,Nokian Renkaat Oyj,TYRES.HE
UPM,UPM-Kymmene Oyj,UPM.HE
VALMT,Valmet Oyj,VALMT.HE
WRT1V,Wartsila Oyj Abp,WRT1V.HE
